Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
220 57th St NW,3 Beds,2 Baths,"1,228 sqft",1972,No Info,"$220,000",Albuquerque
6904 Shale Ave NE,3 Beds,3 Baths,"1,714 sqft",1999,2 Car Garage,"$325,000",Albuquerque
3909 Bryan Ave NW,5 Beds,3 Baths,"3,444 sqft",2003,2 Car Garage,"$535,000",Albuquerque
407 Cornell Dr SE,2 Beds,1 Bath,942 sqft,1941,No Info,"$240,000",Albuquerque
2601 Corianda Ct NW,5 Beds,5 Baths,"4,040 sqft",2006,Garage,"$850,000",Albuquerque
6104 Azuelo Ave NW,3 Beds,3 Baths,"1,617 sqft",2004,2 Car Garage,"$292,000",Albuquerque
6311 Basil Pl NW,4 Beds,4 Baths,"2,535 sqft",2019,2 Car Garage,"$504,000",Albuquerque
1638 Rancho Guadalupe Trl NW,4 Beds,4 Baths,"3,510 sqft",2007,2 Car Garage,"$1,149,900",Albuquerque
4605 Camden Ct NW,4 Beds,3 Baths,"2,705 sqft",2002,2 Car Garage,"$419,900",Albuquerque
1429 56th St NW,3 Beds,1 Bath,918 sqft,1959,No Info,"$185,000",Albuquerque
9208 Ridgefield Ave NE,4 Beds,3 Baths,"2,707 sqft",1992,2 Car Garage,"$549,000",Albuquerque
1713 Wilmoore Dr SE,3 Beds,1 Bath,"1,150 sqft",1950,No Info,"$189,000",Albuquerque
9609 Tanoan Dr NE,4 Beds,4 Baths,"3,375 sqft",1985,2 Car Garage,"$725,000",Albuquerque
6208 Loftus Ave NE,3 Beds,2 Baths,"1,878 sqft",1966,2 Car Garage,"$285,000",Albuquerque
4613 Cactus Ave NW,4 Beds,3 Baths,"3,068 sqft",2001,3 Car Garage,"$435,000",Albuquerque
1417 54th St NW,3 Beds,2 Baths,"1,050 sqft",1959,No Info,"$210,000",Albuquerque
1316 Gabaldon Dr NW,3 Beds,3 Baths,"3,040 sqft",1940,2 Carport Spaces,"$795,000",Albuquerque
7715 William Moyers Ave NE,2 Beds,3 Baths,"1,529 sqft",1991,Garage,"$350,000",Albuquerque
1025 Valencia Dr SE #25,1 Bed,1 Bath,620 sqft,1976,No Info,"$65,000",Albuquerque
1405 Willys Knight Dr NE,3 Beds,2 Baths,"1,445 sqft",1972,2 Car Garage,"$250,000",Albuquerque
31 Lakeshore Dr NE,2 Beds,2 Baths,"1,184 sqft",1973,2 Car Garage,"$195,000",Albuquerque
401 High St SE #6,Studio,1 Bath,788 sqft,2005,No Info,"$143,500",Albuquerque
1320 Amole Dr SW,5 Beds,4 Baths,"3,150 sqft",2004,2 Car Garage,"$235,000",Albuquerque
4646 Chetwood Ln SW,4 Beds,2 Baths,"1,627 sqft",1972,No Info,"$257,000",Albuquerque
1101 Dr Martin Luther King Jr Ave NE #12,1 Bed,1 Bath,700 sqft,2006,1 Car Garage,"$225,000",Albuquerque
1340 Boatright Dr NE,3 Beds,2 Baths,"1,524 sqft",1952,1 Carport Spaces,"$209,000",Albuquerque
1809 La Cabra Dr SE,4 Beds,4 Baths,"3,893 sqft",1991,4 Car Garage,"$699,900",Albuquerque
12724 Desert Marigold Ln NE,4 Beds,3 Baths,"2,783 sqft",2004,2 Car Garage,"$615,000",Albuquerque
6405 Harper Ct NE,3 Beds,2 Baths,"1,517 sqft",1974,2 Car Garage,"$287,500",Albuquerque
6528 Keeling St NW,2 Beds,2 Baths,"1,035 sqft",1984,2 Car Garage,"$190,000",Albuquerque
6708 Hildegarde Dr NE,4 Beds,3 Baths,"2,167 sqft",1974,Garage,"$437,400",Albuquerque
8024 Eliyah Ct NW,4 Beds,4 Baths,"2,490 sqft",2004,2 Car Garage,"$327,000",Albuquerque
6431 Bellini Ln NW,3 Beds,2 Baths,"1,167 sqft",2004,2 Car Garage,"$237,000",Albuquerque
3309 Mountain Rd NE,3 Beds,2 Baths,"1,657 sqft",1947,No Info,"$349,900",Albuquerque
13121 Nandina Ln SE,3 Beds,2 Baths,"1,863 sqft",1987,2 Car Garage,"$335,000",Albuquerque
8001 Independence Dr NW,4 Beds,3 Baths,"2,284 sqft",1986,2 Car Garage,"$369,500",Albuquerque
3793 Candelarias Ln NW,3 Beds,3 Baths,"2,303 sqft",2003,2 Car Garage,"$299,900",Albuquerque
5400 Overlook Dr NE,4 Beds,2 Baths,"2,046 sqft",1988,2 Car Garage,"$329,000",Albuquerque
1409 Valencia Dr NE,3 Beds,2 Baths,"1,852 sqft",1956,Garage,"$374,900",Albuquerque
826 Grace Ct NE,3 Beds,2 Baths,"1,365 sqft",1960,2 Car Garage,"$220,000",Albuquerque
2440 Figueroa Dr NE,4 Beds,2 Baths,"1,570 sqft",1972,2 Car Garage,"$275,000",Albuquerque
603 Valencia Dr SE,4 Beds,2 Baths,"1,717 sqft",1960,No Info,"$229,000",Albuquerque
9021 Phoenix Ave NE,3 Beds,1 Bath,"1,133 sqft",1956,No Info,"$205,000",Albuquerque
Animas Plan in Volterra Village by LGI Homes,2 Beds,3 Baths,"1,369 sqft",2021,Garage,"$294,900+",Albuquerque
