Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
316 Clinton B Fiske Ave,3 Beds,1 Bath,"1,668 sqft",1899,Garage,"$699,000",New York
1140 Rosedale Ave,6 Beds,4 Baths,"2,772 sqft",1998,No Info,"$795,000",New York
60 Knolls Cres #1J,3 Beds,1 Bath,"237,800 sqft",1953,Garage,"$190,162",New York
881 N Railroad Ave,6 Beds,5 Baths,"3,600 sqft",2021,Garage,"$1,189,000",New York
1 John St #Phf,4 Beds,4 Baths,"2,637 sqft",2016,No Info,"$4,500,000",New York
300 E 74th St #F,2 Beds,3 Baths,"1,800 sqft",1967,No Info,"$4,250,000",New York
139-09 84th Dr #505,1 Bed,1 Bath,750 sqft,1953,No Info,"$220,000",New York
266 7th St #201,3 Beds,2 Baths,"1,044 sqft",2021,No Info,"$1,395,000",New York
941 Jerome Ave #9A,Studio,1 Bath,400 sqft,1927,No Info,"$90,000",New York
68 Poplar Ave #68,5 Beds,2 Baths,"1,063 sqft",No Info,No Info,"$469,999",New York
300 E 23rd St #19B,3 Beds,3 Baths,"1,400 sqft",2010,No Info,"$2,400,000",New York
1414 E 54th St,4 Beds,3 Baths,868 sqft,1925,No Info,"$749,000",New York
209-72 45th Rd,2 Beds,2 Baths,760 sqft,1945,No Info,"$699,000",New York
4119 Sea Gate Ave,4 Beds,3 Baths,"2,178 sqft",1901,No Info,"$899,000",New York
112-30 Northern Blvd #6D,3 Beds,1 Bath,,Year Built,,"$235,000",New York
2656 Ford St,3 Beds,2 Baths,"1,760 sqft",1960,Garage,"$849,999",New York
5715 Mosholu Ave #3B,2 Beds,2 Baths,"1,000 sqft",1962,No Info,"$249,500",New York
5705 Avenue O,4 Beds,2 Baths,"1,570 sqft",1955,No Info,"$659,000",New York
55 1/2 Downing St #1/2,2 Beds,2 Baths,,Year Built,,"$899,000",New York
202-14 46th Ave,4 Beds,1 Bath,,1950,No Info,"$824,888",New York
500 W 25th St,4 Beds,5 Baths,"5,115 sqft",2020,No Info,"$12,950,000",New York
1711 84th St,5 Beds,2 Baths,"3,000 sqft",1920,No Info,"$1,178,000",New York
264 Gordon St,3 Beds,2 Baths,"1,989 sqft",1989,Open Parking,"$429,000",New York
94 Cranford Ave,3 Beds,2 Baths,"2,112 sqft",1970,Garage,"$749,000",New York
40 E 80th St #23A,3 Beds,3 Baths,"2,000 sqft",1974,No Info,"$1,450,000",New York
695 1st Ave #37K,2 Beds,2 Baths,"1,452 sqft",2019,No Info,"$2,470,000",New York
1117 Madison St #2FAMILY,5 Beds,5 Baths,"2,454 sqft",1905,Garage,"$1,575,000",New York
81-25 190,3 Beds,4 Baths,"1,900 sqft",1940,Garage,"$1,325,000",New York
351 Warren St #3,2 Beds,2 Baths,,1899,No Info,"$1,595,000",New York
340 Thornycroft Ave,4 Beds,2 Baths,"2,338 sqft",1956,No Info,"$899,000",New York
2207 75th St,3 Beds,3 Baths,"1,683 sqft",1940,Garage,"$949,000",New York
490 Harold St,4 Beds,2 Baths,"1,844 sqft",1970,Garage,"$839,000",New York
1634 W 7th St,3 Beds,3 Baths,"1,800 sqft",1930,No Info,"$880,000",New York
35 Adlers Ln,4 Beds,4 Baths,"4,800 sqft",1994,2 Car Garage,"$1,297,900",New York
54 Presentation Cir,3 Beds,4 Baths,"1,552 sqft",2012,Garage,"$650,000",New York
215 W 105th St #3A,2 Beds,1 Bath,,Year Built,,"$225,000",New York
163-18 24th Rd,4 Beds,4 Baths,"2,100 sqft",2005,Garage,"$1,458,888",New York
90-59 56th Ave #2K,3 Beds,2 Baths,"1,277 sqft",1962,No Info,"$614,888",New York
61-53 224th St #A,2 Beds,1 Bath,,Year Built,,"$285,000",New York
1631 Paulding Ave,3 Beds,1 Bath,"2,101 sqft",1930,1 Car Garage,"$569,000",New York
345 E 77th St #2D,1 Bed,1 Bath,535 sqft,1920,No Info,"$489,000",New York
124 E 102nd St #6,3 Beds,1 Bath,700 sqft,1900,No Info,"$325,000",New York
147 Waverly Pl #2W,2 Beds,2 Baths,"1,459 sqft",1915,No Info,"$3,650,000",New York
89-15 Parsons Blvd #9H,1 Bed,1 Bath,,1960,Garage,"$178,000",New York
246 Spring St #1503,Studio,1 Bath,488 sqft,2009,No Info,"$480,000",New York
6910 68th St,3 Beds,3 Baths,,1930,1 Car Garage,"$769,000",New York
80-58 231st St,4 Beds,3 Baths,"5,400 sqft",1950,Garage,"$848,888",New York
128 E 74th St,5 Beds,8 Baths,"6,785 sqft",1910,No Info,"$19,995,000",New York
18 E 76th St,8 Beds,8 Baths,"10,500 sqft",1910,No Info,"$22,000,000",New York
5 E 93rd St,6 Beds,7 Baths,"6,800 sqft",1901,No Info,"$19,500,000",New York
436 W 23rd St #D,3 Beds,3 Baths,,1900,No Info,"$2,450,000",New York
952 E 18th St,3 Beds,2 Baths,"2,516 sqft",1899,Garage,"$1,800,000",New York
466 E 18th St,8 Beds,5 Baths,"3,700 sqft",1910,No Info,"$1,825,000",New York
61 W 184th St,5 Beds,5 Baths,"1,920 sqft",1901,No Info,"$699,000",New York
85-32 125th St,7 Beds,3 Baths,,Year Built,,"$880,000",New York
54-17 63rd Pl,3 Beds,2 Baths,"1,408 sqft",1930,Garage,"$829,000",New York
1637 Tomlinson Ave,3 Beds,2 Baths,"1,905 sqft",1910,Garage,"$729,000",New York
270 76th St,4 Beds,2 Baths,"2,722 sqft",1899,Open Parking,"$1,349,000",New York
Address Not Disclosed,6 Beds,4 Baths,,1920,1 Car Garage,"$589,000",New York
8 E 63rd St,9 Beds,12 Baths,"10,000 sqft",1899,No Info,"$29,995,000",New York
23 Neptune St,2 Beds,1 Bath,855 sqft,1935,Garage,"$209,000",New York
217 W 57th St #123,5 Beds,5 Baths,"7,074 sqft",2020,No Info,"$65,750,000",New York
112 Laguardia Ave,3 Beds,3 Baths,"1,144 sqft",1970,Carport,"$599,000",New York
403 Avenue C #1D,2 Beds,2 Baths,"1,150 sqft",1915,No Info,"$549,000",New York
38 W 96th St,8 Beds,10 Baths,"6,853 sqft",1910,No Info,"$3,995,000",New York
19 Felton St,3 Beds,3 Baths,"2,106 sqft",1987,Garage,"$599,000",New York
476 Broadway #4F,4 Beds,3 Baths,"4,034 sqft",1904,No Info,"$6,995,000",New York
33 E 74th St,5 Beds,6 Baths,"10,088 sqft",1910,No Info,"$41,000,000",New York
317 Winthrop St #1,3 Beds,2 Baths,"1,176 sqft",1910,No Info,"$895,000",New York
13437 155th St,4 Beds,2 Baths,"1,920 sqft",1950,No Info,"$389,000",New York
211 E 61st St,4 Beds,6 Baths,"4,800 sqft",1905,No Info,"$11,998,000",New York
949 Thieriot Ave,5 Beds,3 Baths,"2,100 sqft",1993,2 Parking Spaces,"$685,000",New York
237-13 120th Ave,3 Beds,3 Baths,"6,570 sqft",1950,No Info,"$699,000",New York
10310 Avenue L,4 Beds,2 Baths,"1,540 sqft",1955,Garage,"$775,000",New York
6280 Forest Ave,3 Beds,3 Baths,"1,560 sqft",1960,1 Car Garage,"$999,000",New York
575 Park Ave #1403,1 Bed,1 Bath,800 sqft,1927,No Info,"$375,000",New York
7611 Caldwell Ave,3 Beds,2 Baths,,1940,1 Car Garage,"$799,888",New York
215-05 104th Ave,4 Beds,2 Baths,"1,280 sqft",1930,No Info,"$499,000",New York
859 60th St #10B,2 Beds,2 Baths,"1,203 sqft",2007,No Info,"$795,000",New York
2565 Flatbush Ave #C-1,2 Beds,2 Baths,"1,200 sqft",1987,No Info,"$239,000",New York
1133 85th St,4 Beds,6 Baths,"1,892 sqft",1910,Garage,"$2,999,999",New York
636 Richmond Rd,1 Bed,1 Bath,720 sqft,1925,Open Parking,"$249,000",New York
225 E 81st St #PENTHOUSE,3 Beds,4 Baths,"1,766 sqft",No Info,No Info,"$5,000,000",New York
21-18 150th St,3 Beds,2 Baths,"1,710 sqft",1950,Garage,"$835,000",New York
103 N 8th St #1,2 Beds,2 Baths,"1,400 sqft",1905,No Info,"$1,800,000",New York
1976 Richmond Rd,6 Beds,3 Baths,"2,112 sqft",1965,Carport,"$855,000",New York
574 Mayfair Dr S,3 Beds,3 Baths,"2,300 sqft",1960,Garage,"$989,000",New York
515 E 79th St #25F,2 Beds,2 Baths,,Year Built,,"$1,395,000",New York
100 Remsen St #7B,1 Bed,1 Bath,900 sqft,1950,No Info,"$350,000",New York
754 E 84th St,7 Beds,5 Baths,,,,"$500,000",New York
2418 Kingsland Ave,3 Beds,2 Baths,"1,670 sqft",1955,1 Car Garage,"$599,000",New York
1927 Ryder St,5 Beds,4 Baths,"1,504 sqft",1925,No Info,"$869,888",New York
145100 178th Pl,6 Beds,5 Baths,"3,000 sqft",1915,No Info,"$990,000",New York
268 E 4th St #5CD,3 Beds,2 Baths,,Year Built,,"$699,000",New York
116 Fine Blvd,5 Beds,5 Baths,"4,048 sqft",1975,Open Parking,"$2,199,900",New York
61 Reeve Pl,4 Beds,2 Baths,"2,514 sqft",1899,No Info,"$1,695,000",New York
700 E 18th St,5 Beds,3 Baths,"4,431 sqft",1920,No Info,"$3,000,000",New York
3326 Pearsall Ave,5 Beds,4 Baths,"2,300 sqft",1955,Garage,"$839,000",New York
1031 E 86th St #3,3 Beds,3 Baths,"1,898 sqft",2004,No Info,"$489,999",New York
36-28 166th St,8 Beds,5 Baths,,1965,3 Parking Spaces,"$1,850,000",New York
190-18 114th Dr,4 Beds,2 Baths,,1930,Garage,"$330,000",New York
217-05 53rd Ave,5 Beds,3 Baths,"2,341 sqft",1930,Garage,"$1,100,000",New York
73-20 70th St,8 Beds,4 Baths,"3,100 sqft",1931,No Info,"$1,250,000",New York
50 Green Valley Rd,4 Beds,4 Baths,"2,018 sqft",1983,2 Parking Spaces,"$625,000",New York
155 Bay 20 St #3A,2 Beds,2 Baths,"1,131 sqft",1998,No Info,"$749,000",New York
155 Bay 20th St #3A,2 Beds,2 Baths,"1,131 sqft",1998,Garage,"$749,000",New York
134-42 158th St,3 Beds,2 Baths,"1,373 sqft",1950,No Info,"$649,999",New York
147-51 8th Ave,3 Beds,3 Baths,"2,350 sqft",1955,No Info,"$1,675,000",New York
84-05 149th Ave,8 Beds,6 Baths,,1965,No Info,"$948,000",New York
70 Arbutus Ave,4 Beds,5 Baths,"4,550 sqft",1997,2 Car Garage,"$1,499,999",New York
242 Edgewater St,3 Beds,3 Baths,"1,232 sqft",1996,Garage,"$387,500",New York
25 Georgia Ct,4 Beds,5 Baths,"2,400 sqft",2000,No Info,"$895,000",New York
15 Pierpont Pl,3 Beds,2 Baths,"1,242 sqft",1981,No Info,"$430,000",New York
3300 Seymour Ave,7 Beds,4 Baths,"2,864 sqft",1935,Garage,"$900,000",New York
9911 199th St,5 Beds,3 Baths,,1940,2 Car Garage,"$785,000",New York
4690 Utopia Pkwy,6 Beds,3 Baths,"2,000 sqft",1940,Garage,"$1,188,000",New York
261 Barbey St,7 Beds,2 Baths,"2,080 sqft",1901,No Info,"$769,000",New York
4558 194th St,4 Beds,4 Baths,"1,860 sqft",1940,Garage,"$928,888",New York
22 Van Wyck Ave,3 Beds,3 Baths,"1,800 sqft",1899,Carport,"$715,000",New York
745 E 231st St #4A,1 Bed,1 Bath,800 sqft,1957,Garage,"$95,000",New York
259 E 92nd St,8 Beds,4 Baths,"3,280 sqft",1930,Garage,"$955,000",New York
1571 201st St,7 Beds,6 Baths,,2021,Garage,"$2,580,000",New York
33 Convent Ave #8,1 Bed,1 Bath,,Year Built,,"$250,000",New York
311 Hart St #1F,3 Beds,2 Baths,"1,263 sqft",2018,No Info,"$875,000",New York
695 King Ave,3 Beds,2 Baths,880 sqft,1920,No Info,"$359,900",New York
200 E 36th St #17-G,1 Bed,1 Bath,,Year Built,,"$595,000",New York
410 Maryland Ave #3C,2 Beds,1 Bath,"1,000 sqft",1974,Open Parking,"$324,900",New York
2048 81st St,3 Beds,2 Baths,"2,260 sqft",1920,Garage,"$1,800,000",New York
93 Groton St,5 Beds,4 Baths,"2,467 sqft",1920,Garage,"$2,288,000",New York
877 Glenmore Ave,3 Beds,1 Bath,"1,240 sqft",1901,Open Parking,"$449,000",New York
64-10 55th Ave,3 Beds,3 Baths,,1925,No Info,"$895,000",New York
45-11 Springfield Blvd,3 Beds,3 Baths,"1,452 sqft",1960,1 Car Garage,"$899,000",New York
102 W 75th St #30,1 Bed,1 Bath,,Year Built,,"$899,000",New York
145 Sackett St #3B,1 Bed,1 Bath,605 sqft,1989,None,"$599,000",New York
60-68 54th St,3 Beds,2 Baths,"1,377 sqft",1930,No Info,"$699,000",New York
250 Mercer St #A503,3 Beds,3 Baths,"1,500 sqft",1888,No Info,"$1,900,000",New York
3447 Ely Ave,3 Beds,2 Baths,760 sqft,1920,No Info,"$469,000",New York
3822 Cypress Ave,5 Beds,4 Baths,"1,980 sqft",1925,Garage,"$948,000",New York
8684 188th St,7 Beds,6 Baths,"4,000 sqft",1940,Garage,"$1,399,000",New York
75 Grand St #4W,4 Beds,3 Baths,"3,000 sqft",1915,No Info,"$7,250,000",New York
781 5th Ave #18,7 Beds,8 Baths,,Year Built,,"$55,000,000",New York
535 W 160th St #5B,3 Beds,1 Bath,700 sqft,1910,No Info,"$235,000",New York
3308 Bell Blvd,3 Beds,2 Baths,,,,"$1,059,000",New York
1715 Fowler Ave,8 Beds,5 Baths,"3,600 sqft",2000,6 Parking Spaces,"$1,400,000",New York
601 Surf Ave #19F,3 Beds,2 Baths,"1,165 sqft",1964,No Info,"$865,000",New York
157 W 57th St #81,4 Beds,5 Baths,"6,230 sqft",2013,No Info,"$42,000,000",New York
60 Jane St,3 Beds,5 Baths,"3,338 sqft",1910,No Info,"$8,895,000",New York
779 Logan St,6 Beds,5 Baths,"1,600 sqft",1920,Garage,"$779,000",New York
3 E 93rd St,9 Beds,8 Baths,"6,579 sqft",1891,No Info,"$10,000,000",New York
796 Barbey St,3 Beds,3 Baths,"1,200 sqft",1920,No Info,"$635,000",New York
316 Clinton B Fiske Ave,3 Beds,1 Bath,"1,668 sqft",1899,Garage,"$699,000",New York
1140 Rosedale Ave,6 Beds,4 Baths,"2,772 sqft",1998,No Info,"$795,000",New York
60 Knolls Cres #1J,3 Beds,1 Bath,"237,800 sqft",1953,Garage,"$190,162",New York
881 N Railroad Ave,6 Beds,5 Baths,"3,600 sqft",2021,Garage,"$1,189,000",New York
1 John St #Phf,4 Beds,4 Baths,"2,637 sqft",2016,No Info,"$4,500,000",New York
300 E 74th St #F,2 Beds,3 Baths,"1,800 sqft",1967,No Info,"$4,250,000",New York
139-09 84th Dr #505,1 Bed,1 Bath,750 sqft,1953,No Info,"$220,000",New York
266 7th St #201,3 Beds,2 Baths,"1,044 sqft",2021,No Info,"$1,395,000",New York
941 Jerome Ave #9A,Studio,1 Bath,400 sqft,1927,No Info,"$90,000",New York
68 Poplar Ave #68,5 Beds,2 Baths,"1,063 sqft",No Info,No Info,"$469,999",New York
300 E 23rd St #19B,3 Beds,3 Baths,"1,400 sqft",2010,No Info,"$2,400,000",New York
1414 E 54th St,4 Beds,3 Baths,868 sqft,1925,No Info,"$749,000",New York
209-72 45th Rd,2 Beds,2 Baths,760 sqft,1945,No Info,"$699,000",New York
4119 Sea Gate Ave,4 Beds,3 Baths,"2,178 sqft",1901,No Info,"$899,000",New York
112-30 Northern Blvd #6D,3 Beds,1 Bath,,Year Built,,"$235,000",New York
2656 Ford St,3 Beds,2 Baths,"1,760 sqft",1960,Garage,"$849,999",New York
5715 Mosholu Ave #3B,2 Beds,2 Baths,"1,000 sqft",1962,No Info,"$249,500",New York
5705 Avenue O,4 Beds,2 Baths,"1,570 sqft",1955,No Info,"$659,000",New York
55 1/2 Downing St #1/2,2 Beds,2 Baths,,Year Built,,"$899,000",New York
202-14 46th Ave,4 Beds,1 Bath,,1950,No Info,"$824,888",New York
500 W 25th St,4 Beds,5 Baths,"5,115 sqft",2020,No Info,"$12,950,000",New York
1711 84th St,5 Beds,2 Baths,"3,000 sqft",1920,No Info,"$1,178,000",New York
264 Gordon St,3 Beds,2 Baths,"1,989 sqft",1989,Open Parking,"$429,000",New York
94 Cranford Ave,3 Beds,2 Baths,"2,112 sqft",1970,Garage,"$749,000",New York
3069 Heath Ave,3 Beds,2 Baths,1 sqft,1899,No Info,"$560,000",New York
425 Park Ave S #19D,2 Beds,2 Baths,"1,000 sqft",1925,Garage,"$1,085,000",New York
837 Rensselaer Ave,3 Beds,3 Baths,"1,120 sqft",1983,Garage,"$628,888",New York
2323 Newbold Ave,6 Beds,3 Baths,"1,870 sqft",1920,1 Parking Spaces,"$815,000",New York
18-75 Corporal Kennedy St #6A,3 Beds,2 Baths,,1960,Garage,"$509,000",New York
515 18th St #515,3 Beds,3 Baths,"1,591 sqft",2020,No Info,"$4,150,000",New York
102 Neptune Ln #102,3 Beds,3 Baths,"1,500 sqft",No Info,None,"$485,000",New York
21 Sprague Ave,5 Beds,3 Baths,"5,347 sqft",2005,Garage,"$1,899,000",New York
80-41 242nd St,5 Beds,5 Baths,"4,089 sqft",1950,No Info,"$1,240,009",New York
151 Pilot St,2 Beds,4 Baths,"1,341 sqft",1915,No Info,"$595,000",New York
1080 Rhinelander Ave,4 Beds,3 Baths,"2,070 sqft",1940,1 Car Garage,"$785,000",New York
37-22 63rd St,4 Beds,5 Baths,"1,580 sqft",1901,No Info,"$988,000",New York
123-15 26th Ave,6 Beds,2 Baths,"2,060 sqft",1940,No Info,"$899,000",New York
1120 Wheeler Ave,7 Beds,4 Baths,"3,200 sqft",1929,None,"$519,000",New York
2827 Ocean Pkwy #4A,3 Beds,2 Baths,"1,109 sqft",2001,2 Parking Spaces,"$699,000",New York
32 1st Pl,6 Beds,5 Baths,"6,075 sqft",1900,No Info,"$7,350,000",New York
13301 134th St,5 Beds,3 Baths,,Year Built,,"$894,990",New York
100 Maspeth Ave #2H,2 Beds,2 Baths,750 sqft,2007,Garage,"$799,888",New York
120 W 87th St,6 Beds,4 Baths,"4,500 sqft",1901,None,"$7,995,000",New York
130 Downes Ave,4 Beds,4 Baths,"2,520 sqft",2004,Garage,"$999,999",New York
10 Little West St,5 Beds,6 Baths,"7,628 sqft",2003,No Info,"$22,500,000",New York
1175 Anderson Ave #2AB,3 Beds,2 Baths,"1,200 sqft",1929,No Info,"$329,000",New York
525 W 236th St #4A,2 Beds,1 Bath,"1,000 sqft",1956,Garage,"$255,000",New York
3912 61st St,6 Beds,3 Baths,"2,280 sqft",1901,None,"$1,038,800",New York
1034 E 212th St,3 Beds,2 Baths,"2,314 sqft",2004,Garage,"$299,000",New York
896 E 38th St,4 Beds,4 Baths,"2,418 sqft",1930,Open Parking,"$849,000",New York
116-45 147th St,4 Beds,3 Baths,,1935,No Info,"$574,000",New York
24 Monroe Pl #4D,2 Beds,2 Baths,"1,200 sqft",1928,No Info,"$1,400,000",New York
1530 Seabury Pl,5 Beds,3 Baths,"2,300 sqft",1987,Garage,"$700,000",New York
451 54th St,6 Beds,3 Baths,"2,400 sqft",1899,Open Parking,"$1,099,000",New York
2823 Avenue Y,3 Beds,3 Baths,"2,320 sqft",1940,Garage,"$885,000",New York
933 E 106th St,4 Beds,2 Baths,"1,440 sqft",1960,No Info,"$450,000",New York
119 W 85th St #2F,Studio,1 Bath,,Year Built,,"$449,000",New York
68 Saint James Pl,4 Beds,2 Baths,"2,240 sqft",1899,No Info,"$2,000,000",New York
6520 68th Ave,5 Beds,2 Baths,"2,084 sqft",1925,Garage,"$1,200,000",New York
801 Logan St,5 Beds,3 Baths,"1,800 sqft",1910,No Info,"$799,000",New York
225 S 3rd St #21,2 Beds,1 Bath,510 sqft,1907,No Info,"$489,000",New York
30 W 85th St,6 Beds,8 Baths,"7,856 sqft",1900,No Info,"$19,750,000",New York
13 Hooker Pl,2 Beds,2 Baths,938 sqft,1915,Open Parking,"$490,000",New York
111 W 70th St #2F,1 Bed,1 Bath,550 sqft,1910,No Info,"$580,000",New York
102 E 22nd St #5G,2 Beds,1 Bath,,Year Built,,"$725,000",New York
1949 77th St,4 Beds,3 Baths,"1,920 sqft",1930,Garage,"$1,100,000",New York
81 Wooster St #2WM,3 Beds,3 Baths,"4,000 sqft",1900,No Info,"$6,995,000",New York
446 Mayfair Drive S,5 Beds,3 Baths,"2,310 sqft",1960,No Info,"$1,349,000",New York
8910 Avenue J,5 Beds,4 Baths,,1960,2 Car Garage,"$789,000",New York
49 E 4th St #1A,2 Beds,3 Baths,"2,662 sqft",1899,No Info,"$1,499,000",New York
1249 Dekalb Ave #2F,3 Beds,2 Baths,"1,152 sqft",2019,No Info,"$915,000",New York
75-40 Furmanville Ave,4 Beds,3 Baths,"2,367 sqft",1925,No Info,"$1,099,000",New York
2062 Muliner Ave,7 Beds,5 Baths,"3,032 sqft",1970,3 Car Garage,"$1,139,000",New York
277 5th Ave #46B,3 Beds,4 Baths,"2,333 sqft",2019,No Info,"$11,500,000",New York
223 E 28th St,3 Beds,2 Baths,"1,599 sqft",1899,No Info,"$599,000",New York
22 Thompson St,4 Beds,5 Baths,"3,140 sqft",1900,No Info,"$14,000,000",New York
4015 Clarendon Rd,4 Beds,2 Baths,"1,600 sqft",1945,No Info,"$650,000",New York
402 Bay Ridge Pkwy #56,1 Bed,1 Bath,950 sqft,No Info,No Info,"$285,000",New York
667 E 158th St,3 Beds,2 Baths,"1,152 sqft",1992,1 Car Garage,"$499,999",New York
19 Leason Pl,3 Beds,3 Baths,"1,528 sqft",1980,Garage,"$758,000",New York
29 S 3rd St #4F,2 Beds,2 Baths,"1,128 sqft",2009,No Info,"$1,650,000",New York
150-37 122nd Ave,2 Beds,1 Bath,756 sqft,1915,No Info,"$449,999",New York
2080 Barnes Ave #4C,2 Beds,1 Bath,"1,100 sqft",1951,No Info,"$269,000",New York
2042 52nd St,4 Beds,3 Baths,"1,847 sqft",1955,Attached Garage,"$1,050,000",New York
40 Wakefield Rd,5 Beds,7 Baths,"11,400 sqft",2010,Garage,"$5,999,000",New York
85 Jay St #8R,3 Beds,3 Baths,"1,821 sqft",2021,No Info,"$3,895,000",New York
601 Washington St #W,6 Beds,8 Baths,"7,172 sqft",2019,No Info,"$32,274,000",New York
36-16 213th St #2B,2 Beds,1 Bath,,1964,No Info,"$379,000",New York
110 Faber St,3 Beds,2 Baths,832 sqft,1920,Open Parking,"$399,000",New York
1913 68th St,10 Beds,6 Baths,"3,510 sqft",No Info,None,"$1,990,000",New York
20 E 73rd St,8 Beds,10 Baths,"11,371 sqft",1911,No Info,"$32,500,000",New York
2040 W 7th St,3 Beds,3 Baths,"1,088 sqft",1925,None,"$859,900",New York
1509 Commonwealth Ave,4 Beds,2 Baths,"1,700 sqft",1925,No Info,"$545,000",New York
2343 Bruner Ave,3 Beds,3 Baths,"1,985 sqft",1965,No Info,"$700,000",New York
123 E 71st St,7 Beds,9 Baths,"5,619 sqft",1910,No Info,"$16,375,000",New York
2107 Wallace Ave #1A,1 Bed,1 Bath,850 sqft,1952,No Info,"$160,000",New York
309 W 87th St,6 Beds,8 Baths,"21,816 sqft",1900,No Info,"$17,000,000",New York
137 Eldert St #1,2 Beds,2 Baths,"1,459 sqft",2015,No Info,"$875,000",New York
275 W 96th St #12A,3 Beds,2 Baths,"1,205 sqft",1983,Garage,"$1,595,000",New York
2525 W 2nd St #1B,2 Beds,1 Bath,950 sqft,1957,No Info,"$229,000",New York
75-47 195th St,3 Beds,2 Baths,,1950,No Info,"$998,000",New York
42-05 215th Pl,4 Beds,2 Baths,,1920,No Info,"$1,400,000",New York
21501 69th Ave,6 Beds,4 Baths,"2,152 sqft",1950,Garage,"$1,599,000",New York
6455 60th Ave,3 Beds,2 Baths,"1,136 sqft",1920,Garage,"$789,000",New York
10 77th St,3 Beds,2 Baths,"1,646 sqft",1925,Garage,"$1,489,000",New York
2387 56th Dr,6 Beds,6 Baths,"6,828 sqft",2006,No Info,"$4,699,000",New York
1438 70th St #2C,3 Beds,2 Baths,971 sqft,2007,Garage,"$699,000",New York
18-35 Corporal Kennedy St #3B,2 Beds,1 Bath,"1,075 sqft",1960,No Info,"$375,000",New York
42 Maspeth Ave #2H,1 Bed,1 Bath,659 sqft,2015,No Info,"$795,000",New York
322 Leland Ave,3 Beds,1 Bath,"1,260 sqft",1925,No Info,"$489,000",New York
53 E 80th St,7 Beds,9 Baths,"10,800 sqft",1920,No Info,"$20,000,000",New York
104 Wooster St #2-S,2 Beds,3 Baths,"3,167 sqft",1891,No Info,"$8,500,000",New York
4202 Avenue T,3 Beds,6 Baths,"4,096 sqft",2020,No Info,"$2,499,500",New York
88 E 3rd St #13,Studio,1 Bath,,Year Built,,"$450,000",New York
11105 75th Rd,3 Beds,2 Baths,"1,288 sqft",1935,No Info,"$1,250,000",New York
16032 92nd St,5 Beds,3 Baths,,1965,1 Car Garage,"$1,250,000",New York
120 Nicolosi Dr,5 Beds,6 Baths,"7,372 sqft",1986,Garage,"$2,999,999",New York
273 Manhattan Ave #4A,2 Beds,2 Baths,"1,163 sqft",2007,No Info,"$1,475,250",New York
230 Tompkins Ave,4 Beds,3 Baths,"2,300 sqft",1899,No Info,"$1,688,000",New York
349 Leland Ave,4 Beds,2 Baths,"1,500 sqft",1925,No Info,"$575,000",New York
47-49 Charles St,6 Beds,8 Baths,"8,775 sqft",1890,No Info,"$36,000,000",New York
233 E 69th St #5D,2 Beds,2 Baths,"1,200 sqft",1957,No Info,"$1,199,000",New York
1 E 62nd St,4 Beds,5 Baths,"5,100 sqft",1910,No Info,"$38,000,000",New York
86-02 Palermo St,4 Beds,3 Baths,"2,020 sqft",1935,No Info,"$1,050,000",New York
2170 Brigham St #5D,2 Beds,1 Bath,"1,107 sqft",1953,Garage,"$250,000",New York
175-22 73rd Ave,3 Beds,3 Baths,,1950,2 Parking Spaces,"$899,000",New York
18 Thistle Ct,3 Beds,2 Baths,"1,344 sqft",1998,No Info,"$435,000",New York
10535 133rd St,4 Beds,3 Baths,"1,288 sqft",1920,No Info,"$799,000",New York
54 E 8th St #2F,1 Bed,1 Bath,700 sqft,1952,No Info,"$595,000",New York
85 Carlton Ave,2 Beds,2 Baths,885 sqft,1901,Garage,"$945,000",New York
32 Perry St,5 Beds,5 Baths,"4,451 sqft",1899,No Info,"$16,500,000",New York
10578 Flatlands 9th St,4 Beds,2 Baths,,1960,No Info,"$750,000",New York
280 Atlantic Ave #3,2 Beds,2 Baths,"1,020 sqft",2021,No Info,"$1,350,000",New York
22 Verandah Pl,5 Beds,5 Baths,"3,192 sqft",1899,Garage,"$6,995,000",New York
196 6th Ave #1B,1 Bed,2 Baths,943 sqft,1925,No Info,"$895,000",New York
46 Selkirk St,6 Beds,6 Baths,"3,968 sqft",1988,Garage,"$1,699,000",New York
75 1/2 Bedford St,3 Beds,2 Baths,999 sqft,1901,No Info,"$4,990,000",New York
9971 Shore Rd #9B,2 Beds,2 Baths,"1,070 sqft",1983,No Info,"$695,000",New York
727 Bartholdi St,3 Beds,2 Baths,"1,402 sqft",1945,1 Car Garage,"$489,000",New York
301 E 63rd St #14F,2 Beds,1 Bath,962 sqft,1959,Garage,"$475,000",New York
430 Washington St,5 Beds,10 Baths,"14,000 sqft",1929,No Info,"$29,000,000",New York
40-66 Ithaca St #3D,3 Beds,2 Baths,"1,200 sqft",1940,No Info,"$565,000",New York
303 E 57th St #44G,3 Beds,4 Baths,"3,300 sqft",1968,No Info,"$750,000",New York
205 E 63rd St #3H,Studio,1 Bath,550 sqft,1963,No Info,"$265,000",New York
155 Bay 20th St #3A,2 Beds,2 Baths,"1,131 sqft",1998,Garage,"$749,000",New York
155 Bay 20 St #3A,2 Beds,2 Baths,"1,131 sqft",1998,No Info,"$749,000",New York
134-42 158th St,3 Beds,2 Baths,"1,373 sqft",1950,No Info,"$649,999",New York
147-51 8th Ave,3 Beds,3 Baths,"2,350 sqft",1955,No Info,"$1,675,000",New York
