Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
1 Bed,2 Baths,"1,241 sqft","$1,350,000",Garage,"1388 Kettner Blvd #2203San Diego, CA 92101",2019
4 Beds,2 Baths,"1,636 sqft","$1,250,000",2 Car Garage,"2836 Arcola AveSan Diego, CA 92117",1980
4 Beds,3 Baths,"1,555 sqft","$649,888",1 Car Garage,"4889 Ocean View BlvdSan Diego, CA 92113",1962
3 Beds,2 Baths,"1,177 sqft","$796,000",Garage,"10842 Whitehall RdSan Diego, CA 92126",1972
2 Beds,3 Baths,"2,055 sqft","$1,475,000",2 Car Garage,"7936 Auberge CirSan Diego, CA 92127",2017
Studio,2 Baths,931 sqft,"$649,900",2 Car Garage,"3211 5th Ave #305San Diego, CA 92103",2004
2 Beds,1 Bath,920 sqft,"$439,000",1 Carport Spaces,"4131 Mount Alifan Pl #ESan Diego, CA 92111",1973
3 Beds,4 Baths,"3,231 sqft","$2,898,000",3 Car Garage,"1268 Bluebird LnLa Jolla, CA 92037",2006
3 Beds,3 Baths,"2,400 sqft","$1,895,000",2 Car Garage,"4922 Randall StSan Diego, CA 92109",1964
4 Beds,3 Baths,"2,445 sqft","$1,650,000",2 Car Garage,"5252 Pearlman WaySan Diego, CA 92130",1998
3 Beds,3 Baths,"1,628 sqft","$749,000",2 Car Garage,"946 Camino De La Reina #17San Diego, CA 92108",1996
4 Beds,3 Baths,"1,779 sqft","$649,900",Garage,"2792 Caulfield DrSan Diego, CA 92154",1967
3 Beds,3 Baths,"1,540 sqft","$775,000",2 Car Garage,"10509 Caminito BasswoodSan Diego, CA 92131",1973
5 Beds,3 Baths,"2,670 sqft","$1,050,000",2 Car Garage,"14660 Thebes StSan Diego, CA 92129",1979
3 Beds,3 Baths,"1,551 sqft","$999,900",2 Car Garage,"14824 Gable Ridge RdSan Diego, CA 92128",1988
2 Beds,3 Baths,"1,342 sqft","$495,000",Garage,"5201 Beachside Ln #123San Diego, CA 92154",2018
5 Beds,9 Baths,"7,032 sqft","$9,275,000",3 Car Garage,"1702 Valdes DrLa Jolla, CA 92037",2011
6 Beds,7 Baths,"10,406 sqft","$9,800,000",3 Car Garage,"3402 Gage PlSan Diego, CA 92106",1988
4 Beds,3 Baths,"1,482 sqft","$950,000",Garage,"4475 36th StSan Diego, CA 92116",1926
2 Beds,1 Bath,796 sqft,"$525,000",1 Car Garage,"7565 Charmant Dr #307San Diego, CA 92122",1987
1 Bed,1 Bath,686 sqft,"$350,000",Garage,"10278 Black Mountain Rd #178San Diego, CA 92126",1978
3 Beds,3 Baths,"1,680 sqft","$1,029,000",2 Car Garage,"4865 39th StSan Diego, CA 92116",2020
3 Beds,3 Baths,"1,561 sqft","$599,900",2 Car Garage,"9325 Lake Murray Blvd #ESan Diego, CA 92119",1987
2 Beds,2 Baths,"1,183 sqft","$789,000",Garage,"3225 Newell St #8San Diego, CA 92106",1985
2 Beds,2 Baths,"1,187 sqft","$635,350",Garage,"8233 Station Village Ln #2206San Diego, CA 92108",2005
4 Beds,2 Baths,"1,176 sqft","$899,000",2 Car Garage,"4702 Mount Harris DrSan Diego, CA 92117",1958
2 Beds,2 Baths,897 sqft,"$475,000",Carport,"10970 Summerdale Way #320San Diego, CA 92126",1987
2 Beds,2 Baths,907 sqft,"$530,000",1 Parking Spaces,"13216 Wimberly Sq #178San Diego, CA 92128",1987
3 Beds,3 Baths,"1,440 sqft","$1,220,000",2 Car Garage,"4510 Jutland DrSan Diego, CA 92117",1965
2 Beds,2 Baths,900 sqft,"$599,900",Garage,"3959 8th Ave #6San Diego, CA 92103",1993
2 Beds,3 Baths,"1,228 sqft","$529,900",1 Car Garage,"3062 40th StSan Diego, CA 92105",1987
4 Beds,3 Baths,"2,555 sqft","$1,949,000",2 Car Garage,"5401 La Jolla Mesa DrLa Jolla, CA 92037",2012
3 Beds,3 Baths,"1,513 sqft","$639,000",1 Car Garage,"10239 Caminito SurabayaSan Diego, CA 92131",No Info
6 Beds,8 Baths,"11,404 sqft","$26,000,000",20 Car Garage,"1410 Inspiration DrLa Jolla, CA 92037",2013
3 Beds,3 Baths,"1,479 sqft","$1,013,100",Garage,"3872 Creststone PlSan Diego, CA 92130",1991
4 Beds,5 Baths,"3,873 sqft","$2,075,000",3 Car Garage,"12492 Grainwood WaySan Diego, CA 92131",2005
2 Beds,1 Bath,723 sqft,"$549,000",Garage,"4222 Dwight StSan Diego, CA 92105",1942
2 Beds,2 Baths,899 sqft,"$570,000",Garage,"17161 Alva Rd #2724San Diego, CA 92127",1992
2 Beds,2 Baths,866 sqft,"$545,900",No Info,"8451 Westmore Rd #110San Diego, CA 92126",1983
5 Beds,6 Baths,"4,922 sqft","$4,500,000",2 Car Garage,"5356 Aurora Summit TrlSan Diego, CA 92130",2019
4 Beds,3 Baths,"1,608 sqft","$899,000",2 Car Garage,"8612 Fensmuir StSan Diego, CA 92123",1958
2 Beds,2 Baths,"1,084 sqft","$779,000",Garage,"422 Rosecrans St #3San Diego, CA 92106",1990
4 Beds,2 Baths,"1,128 sqft","$575,000",Garage,"3237 Fairmount AveSan Diego, CA 92105",1950
2 Beds,2 Baths,970 sqft,"$575,000",2 Parking Spaces,"3515 Monair Dr #FSan Diego, CA 92117",1981
2 Beds,2 Baths,"1,048 sqft","$649,900",Garage,"3450 2nd Ave #34San Diego, CA 92103",1970
3 Beds,2 Baths,"1,306 sqft","$234,999",2 Carport Spaces,"4910 Old Cliffs Rd #1/2San Diego, CA 92120",2020
1 Bed,1 Bath,868 sqft,"$579,000",Garage,"6240 Caminito ArayaSan Diego, CA 92122",1977
2 Beds,2 Baths,907 sqft,"$549,900",1 Carport Spaces,"13034 Wimberly Sq #21San Diego, CA 92128",1986
2 Beds,2 Baths,"1,036 sqft","$550,000",Garage,"235 Market St #210San Diego, CA 92101",2002
4 Beds,3 Baths,"1,716 sqft","$1,750,000",5 Open Spaces,"12806 Via GrimaldiDel Mar, CA 92014",1970
2 Beds,2 Baths,"1,038 sqft","$639,000",Garage,"620 State St #219San Diego, CA 92101",1989
